City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kovur,14.4833,79.9833,25.26,79,85,3.47,IN,1702004613
83,minas de marcona,-15.2119,-75.1103,15.28,80,26,4.99,PE,1702004616
84,mazatlan,23.2167,-106.4167,24.95,67,0,0.89,MX,1702004372
85,yellowknife,62.456,-114.3525,-10.71,92,100,2.06,CA,1702004459
86,tenno,39.9,139.9667,10.56,61,6,6.06,JP,1702004530
87,port elizabeth,-33.918,25.5701,18.16,88,75,9.26,ZA,1702004473
88,mermoz boabab,14.7065,-17.4758,23.88,83,0,3.09,SN,1702004627
89,invercargill,-46.4,168.35,16.85,60,100,4.58,NZ,1702004629
90,hamilton,39.1834,-84.5333,9.89,63,100,4.12,US,1702004553
91,hawkesbury,45.6001,-74.616,-6.84,96,91,1.61,CA,1702004633
92,yangjiang,21.85,111.9667,22.41,57,29,2.47,CN,1702004635
93,lawas,13.764,121.0566,29.43,67,49,4.53,PH,1702004638
94,i-n-salah,27.1935,2.4607,16.62,35,100,4.55,DZ,1702004639
95,tiksi,71.6872,128.8694,-33.53,100,90,1.69,RU,1702004642
96,kapuskasing,49.4169,-82.4331,-0.95,93,100,3.6,CA,1702004518
97,plaza huincul,-38.926,-69.2086,21.75,10,22,1.79,AR,1702004647
98,hasaki,35.7333,140.8333,15.22,35,0,2.45,JP,1702004651
99,tabalah,19.95,42.4,11.58,36,3,1.92,SA,1702004653
100,yuzhno-kurilsk,44.0306,145.8556,3.54,89,100,15.03,RU,1702004656
101,puente alto,-33.6167,-70.5833,21.52,40,0,1.93,CL,1702004541
102,port lincoln,-34.7333,135.8667,23.54,52,100,4.19,AU,1702004659
103,lepsy,46.235,78.9456,-5.17,41,100,5.68,KZ,1702004660
104,nemuro,43.3236,145.575,3.0,54,26,11.53,JP,1702004451
105,new norfolk,-42.7826,147.0587,21.72,22,86,1.74,AU,1702004664
106,sitka,57.0531,-135.33,2.94,87,40,3.6,US,1702004667
107,stanley,54.868,-1.6985,4.87,96,100,3.6,GB,1702004502
108,suances,43.4334,-4.0434,12.34,85,75,3.6,ES,1702004672
109,bethel,41.3712,-73.414,1.08,84,21,1.79,US,1702004674
110,tofol,5.3248,163.0078,28.88,84,75,7.2,FM,1702004675
111,san pedro pochutla,15.7333,-96.4667,24.26,72,18,1.59,MX,1702004677
112,holualoa,19.6228,-155.9522,25.91,70,75,5.14,US,1702004664
113,magalia,39.8121,-121.5783,5.79,94,84,0.45,US,1702004679
114,kashmar,35.2383,58.4656,7.5,29,5,0.87,IR,1702004681
115,adelaide,-34.9333,138.6,36.69,30,97,2.24,AU,1702004049
116,sarupathar,26.1984,93.8094,19.12,98,100,1.25,IN,1702004683
117,mizdah,31.4451,12.9801,8.94,85,4,2.57,LY,1702004685
118,puerto carreno,6.189,-67.4859,24.92,85,100,2.42,CO,1702004687
119,bonthe,7.5264,-12.505,25.55,84,0,1.11,SL,1702004689
120,vilhena,-12.7406,-60.1458,21.67,82,20,0.97,BR,1702004690
121,mormugao,15.4,73.8,24.59,73,100,3.09,IN,1702004692
122,yanam,16.7333,82.2167,25.55,84,28,1.37,IN,1702004693
123,talnakh,69.4865,88.3972,-33.84,85,5,1.48,RU,1702004694
124,bereznik,62.8551,42.7072,-21.28,99,86,1.52,RU,1702004696
125,iqaluit,63.7506,-68.5145,-11.15,79,20,4.63,CA,1702004493
126,wanganui,-39.9333,175.05,18.11,79,6,3.58,NZ,1702004699
127,tura,25.5198,90.2201,18.38,86,71,1.68,IN,1702004700
128,port alfred,-33.5906,26.891,16.77,87,11,1.34,ZA,1702004460
129,ain touta,35.3768,5.9,7.8,75,98,2.1,DZ,1702004707
130,udachny,66.4167,112.4,-27.53,75,100,1.55,RU,1702004709
131,puerto madryn,-42.7692,-65.0385,13.08,69,0,5.76,AR,1702004720
132,college,64.8569,-147.8028,-18.08,81,75,0.0,US,1702004721
133,valdivia,-39.8142,-73.2459,14.05,96,0,0.46,CL,1702004565
134,tadine,-21.55,167.8833,24.85,68,100,7.37,NC,1702004725
135,karratha,-20.7377,116.8463,38.55,17,7,6.42,AU,1702004727
136,labrador city,52.9463,-66.9114,-10.05,79,75,5.66,CA,1702004608
137,port augusta,-32.5,137.7667,44.24,10,90,14.78,AU,1702004729
138,ash shihaniyah,25.3686,51.2264,19.79,77,0,2.17,QA,1702004731
139,puerto ayora,-0.7393,-90.3518,24.19,96,45,2.24,EC,1702004733
140,sisimiut,66.9395,-53.6735,-5.9,71,100,3.5,GL,1702004736
141,zanjan,36.6736,48.4787,4.22,70,93,1.59,IR,1702004738
142,ebon,4.582,168.6964,28.05,81,95,7.16,MH,1702004739
143,popondetta,-8.7537,148.2534,35.78,40,43,3.37,PG,1702004745
144,greymouth,-42.4667,171.2,15.93,64,16,3.88,NZ,1702004747
145,saldanha,-33.0117,17.9442,18.03,90,0,3.37,ZA,1702004452
146,ushuaia,-54.8,-68.3,6.81,86,0,8.05,AR,1702004481
147,al kharijah,25.4514,30.5464,14.31,54,51,2.14,EG,1702004753
148,thompson,55.7435,-97.8558,-7.91,93,75,1.54,CA,1702004754
149,choyr,46.3611,108.3611,-13.52,81,6,3.33,MN,1702004756
150,edinburgh of the seven seas,-37.0676,-12.3116,14.95,85,100,7.25,SH,1702004759
151,ron phibun,8.1791,99.8542,31.75,74,72,2.43,TH,1702004761
152,yei,4.095,30.6779,19.79,68,0,1.08,SS,1702004762
153,telsiai,55.9814,22.2472,-6.44,90,100,4.33,LT,1702004764
154,tanjungtiram,4.0613,98.3699,27.12,81,100,2.41,ID,1702004767
155,ust-nera,64.5667,143.2,-28.74,98,100,3.13,RU,1702004768
156,tomohon,1.3346,124.8392,27.52,74,45,1.71,ID,1702004770
157,mount isa,-20.7333,139.5,36.87,18,0,2.57,AU,1702004489
